time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.30235046669e-08,-6.86410954132e-08,10.0072045352,6.28309655658,3.39935438447e-05,0.0,-3.2161100136e-06,-7.51781271609e-06,0.240130882601,-0.00461529550743,0.00167636232676,0.0,479.2447191696895,479.3720845068241,479.47912628207246,479.1284630703192
0.12000000000000001,-1.57598607664e-06,-4.30048800668e-06,10.0319528913,6.28293427211,6.2831229562,0.0,-4.98543734119e-05,-0.000163538726219,0.584702522267,0.000866254620852,-0.00914669179458,0.0,508.9298302036389,508.15474233755566,508.6982044831886,509.0905646787061
0.18,-1.29140833017e-06,-1.93398975873e-05,10.0706974136,6.2826985666,6.28278777951,0.0,0.000105002392881,-0.00034497699149,0.706713513795,-0.0158457711843,0.000723046799736,0.0,443.32840854405174,444.13860264749917,445.354410800744,443.98564906342375
0.23999999999999996,1.16664214722e-05,-5.19526241839e-05,10.1132978667,6.28153449988,6.28314710044,0.0,0.000307702330654,-0.00083431906617,0.713297375626,-0.0276777092019,0.0148558468461,0.0,406.05089906916663,407.31653016690257,407.2572823000368,406.1977326197621
0.3,2.74858516664e-05,-0.000143759131192,10.1599917005,6.28026041478,0.000594759279897,0.0,0.000136594148479,-0.00237933355672,0.843076220243,-0.0107405653576,0.000129311887034,0.0,447.281301358415,446.0804140576671,446.20614474568674,447.58647139986084
0.36000000000000004,2.25956593345e-05,-0.000351788698462,10.2143276017,6.27940420385,8.98128817974e-05,0.0,-0.000285402469171,-0.00463277850737,0.968022373691,-0.022476979199,-0.0369835932019,0.0,446.6531269959681,443.61646773112324,446.3085483860023,445.3498382260066
0.4200000000000001,1.25011209034e-05,-0.000716906171567,10.2763536071,6.27775489325,6.28082514931,0.0,0.000196352556411,-0.00769442480283,1.09939284696,-0.040096865756,-0.0499245405986,0.0,447.08015736096723,446.0237392264831,449.56256318167965,448.1325396079747
0.48000000000000015,8.7299281688e-05,-0.00130751406969,10.346595796,6.27500665264,6.278485634,0.0,0.00257887452836,-0.0122668436919,1.24186663656,-0.0607780818581,-0.0231192454036,0.0,450.4859041296431,452.6470628720525,452.0599072553131,450.38920929047214
0.5400000000000001,0.000344341788093,-0.00222643776061,10.4241079641,6.27135243497,6.27719635263,0.0,0.00612494605414,-0.0187352236018,1.34175583521,-0.0611557949544,-0.0184106506019,0.0,438.37674270097045,438.76777264884544,438.290894269839,438.2568038846344
0.6000000000000002,0.000850189236373,-0.00362986084696,10.5092759252,6.26731311082,6.27590231874,0.0,0.0108666060004,-0.028462980988,1.49697926042,-0.0839927773513,-0.0287748334063,0.0,456.9137621960701,456.08681874973433,456.1731908965439,454.34260949674945
0.6600000000000003,0.00166420555623,-0.00569622237911,10.6028044982,6.26271384801,6.27456190083,0.0,0.0164252440928,-0.0409180326685,1.62046240196,-0.0649933397734,-0.0118574822406,0.0,445.8349417264361,447.2148439223172,445.76445869349675,447.3094299730717
0.7200000000000003,0.00286412752176,-0.00867237297883,10.7069520773,6.25861145712,6.27440227419,0.0,0.0236165737395,-0.0587636242218,1.85076825591,-0.0761700094127,0.0112751391591,0.0,478.5999470976753,480.35726855023916,478.9808414417188,478.12695172804246
0.7800000000000004,0.00448495143417,-0.0127968293396,10.8238814221,6.25388695461,6.27513683828,0.0,0.0303259492819,-0.0792490408632,2.04653271797,-0.0844535620498,0.0141108900903,0.0,469.4098910917495,469.6297520942634,470.05960945357486,469.4126644536278
0.8400000000000004,0.00644332907899,-0.0180832762064,10.9465926116,6.24900470949,6.27589205123,0.0,0.034883575233,-0.097397314194,2.04383105248,-0.0758287138588,0.00935006657495,0.0,407.2668576089908,406.84073175431047,407.30163759851325,408.066188016352
0.9000000000000005,0.00868492282881,-0.0246537056683,11.0723305488,6.24519801805,6.2770617832,0.0,0.0397406464754,-0.122031167581,2.14722883864,-0.0460678742528,0.03451012391,0.0,441.4555675993524,443.5266726192814,440.6380205315214,443.08803045467135
0.9600000000000005,0.0111637469905,-0.0326087644806,11.1999445036,6.24200168074,6.27914636684,0.0,0.0427183342304,-0.14337723391,2.10663553693,-0.0743293074765,0.0352048088497,0.0,394.9844460192622,395.0491815045162,395.6835372038613,393.07065948309355
1.0200000000000005,0.0138031241843,-0.0420889459428,11.3295727535,6.23803055899,6.28116357623,0.0,0.0450468045963,-0.173051467001,2.21408372613,-0.0535148684128,0.0302466764817,0.0,443.62163460594314,443.21479822839814,443.2522174196912,444.95595880773936
1.0800000000000005,0.016541950777,-0.0534501203269,11.4661192355,6.23482904501,6.28292064398,0.0,0.0460583896373,-0.205981613377,2.33720325367,-0.0530478985611,0.0272873868046,0.0,449.46752907461996,449.2278866285392,448.89086360133797,448.9269116311068
1.1400000000000006,0.0193041582965,-0.0669432761832,11.6118394989,6.23135773475,0.00164664544015,0.0,0.0458108277775,-0.244149247393,2.51973137012,-0.0698049371386,0.0397043026662,0.0,466.8672804095735,467.8353623698953,468.8031307362572,467.4970861881008
1.2000000000000006,0.0220092102413,-0.0826696802941,11.7658179418,6.22682238197,0.00461078552078,0.0,0.0440827687403,-0.280490439116,2.61264622686,-0.0908349766073,0.06391027061,0.0,439.7438811008612,441.7458772992534,442.3490665965911,440.60914328208554
1.2600000000000007,0.0245418862018,-0.100709131196,11.9259774756,6.22159626092,0.00814046126825,0.0,0.0399549941165,-0.321363806912,2.72570058194,-0.0805263767162,0.0459930893733,0.0,449.39771259833725,447.9453894607682,446.8228061925835,447.6561234901544
